id,text,created_at,user_id,retweet_count,username,user_desc,location,verified
1494099266188419074,"Covid is over. 

War with Russia is over. 

Media is trying SO hard to keep you scared https://t.co/z64HLFCwxj",2022-02-16T23:59:58.000Z,973379959732322304,1,dadetrading,"“Be excellent to each other” Random thoughts, tangents, smack talk, cryptocurrency trading journal. Probably will be cancelled soon.",U.S.A.,False
1494099265517457409,RT @papanours60: Vous vous souvenez ? Ils prétendaient ainsi lutter contre la Covid... https://t.co/T0Cq0liXQ7,2022-02-16T23:59:58.000Z,827725816352092160,2389,Naomi75457186,"ღ.¸¸.✿Ethical V e G A N for L i F e ✿⊱╮🕊Vegan is just pure love.
Love for animals, love for the planet, and love for yourself.""
Mischa Temaul
Edit","Languedoc, France",False
1494099251282030598,"🏥 #EsSalud pide que le devuelvan sus instalaciones donde funciona el Centro Covid de Cutervo.

https://t.co/m5vZFZXPul",2022-02-16T23:59:55.000Z,223441967,0,radioilucan,"Decencia en la Noticia...
Radio Ilucán 740 AM  - 96.5 FM - 106.3 FM - https://t.co/t1xIDhGQaG LA RADIO DE CUTERVO, AYER, HOY Y SIEMPRE.",,False
1494099267492798464,"RT @PeterSweden7: Places in Canada that have announced they are removing the use of covid passports.

- Manitoba
- Saskatchewan
- Ontario
-…",2022-02-16T23:59:59.000Z,910774957,2345,pamsoder814,"Proud Christian Conservative Wife ...silly, thoughtful, informed.",Yavapai County,False
1494099251814494210,@dianaberrent Thanks so much for your advocacy! Do you have any links to share about changing semantics-“dying with Covid “ vs “of Covid “?,2022-02-16T23:59:55.000Z,2973401591,0,Ninablake6789,former library director retired due to #lyme,,False
1494099260488527872,"RT @DonEford: The '15 passthrough' rule for SARS is in play

I misunderstood it initially but now that I get it

These are the same problem…",2022-02-16T23:59:57.000Z,1446633879146729474,2,Syfx18637973,"SyFx. Human. Deadhead. Political Ninja. Pro-DemSoc, Pro-#BernNewRevolution",,False
1494099261990047745,"In a tweet, the CDC said five to 10 percent of COVID PCR tests are sent to labs for mapping ""genomic sequencing."" Genomic sequencing is a process used to analyze the genetic makeup of viruses. https://t.co/JhQgyqnzTX",2022-02-16T23:59:57.000Z,1247595103402762248,1,Pmcknightnews,Journalist looking to tell impactful stories. Reporter for @newsweek I try to have fun with it😊,"Sarasota, FL",True
1494099252196577283,"RT @garyblack00: $TSLA still trades at lowest 2-year forward P/E 66x since May-June 2020 at height of Covid pandemic, when TSLA was $200-$3…",2022-02-16T23:59:55.000Z,1380749344450613248,85,philipK19582040,#경제적독립 #tsla #thinking,,False
1494099250627727365,"RT @GodfatherCap: $ENZC -

 1️⃣ Elli Lilly &amp; Regeneron interested in the #COVID mAbs.
2️⃣ Gilead &amp; ViiV interested in the #HIV mAbs
3️⃣ 2 o…",2022-02-16T23:59:55.000Z,63885042,55,loisdmyers,"Houston Luxury Homes ALHS Realtor #HAR, Gets Listings on 1stPg Google. Owner/Energy Capital Realty. Mbr/Houston Assoc of Realtors. OTC-Trader4Fun;Pls Do UR DD!","Houston, TX",False
1494099265513218050,@JorgeToin Covid dnv,2022-02-16T23:59:58.000Z,1228864318470529024,0,victor095628980,sem maldade 🙅🏻‍♂️,🏠063,False
1494099260127784970,"RT @DawnsMission: How is it that the hospitals have so much control NOW that a loved one cannot even see a spouse, parent, child on their d…",2022-02-16T23:59:57.000Z,4031096237,654,CandyCa47797626,libertarian,"North Bay, Ontaro Canada",False
1494099267094388737,RT @PatoDevaux: Mucha gente con 2 y 3 dosis muertos por la 💉y les meten en la cabeza que es por las secuelas del Covid. Pobre gente realmen…,2022-02-16T23:59:58.000Z,370981685,17,lmicaela24,Art 14 C.N,,False
